VariableID:208:3695	Alias	text/link	COLOR	alias:VariableID:161:3692
VariableID:208:3696	Alias	text/on-accent	COLOR	alias:VariableID:161:3681
VariableID:208:3698	Alias	action/donate	COLOR	alias:VariableID:161:3699
VariableID:208:3699	Alias	action/donate-hover	COLOR	alias:VariableID:161:3698
VariableID:208:3700	Alias	action/primary	COLOR	alias:VariableID:161:3681
VariableID:208:3701	Alias	action/primary-hover	COLOR	alias:VariableID:161:3698
VariableID:208:3702	Alias	action/secondary-border	COLOR	alias:VariableID:161:3681
VariableID:208:3703	Alias	action/inverse	COLOR	alias:VariableID:161:3692
VariableID:208:3704	Alias	action/disabled	COLOR	alias:VariableID:161:3641
VariableID:208:3705	Alias	action/disabled-text	COLOR	alias:VariableID:161:3675
VariableID:208:3707	Alias	border/default	COLOR	alias:VariableID:161:3641
VariableID:208:3708	Alias	border/strong	COLOR	alias:VariableID:161:3681
VariableID:208:3709	Alias	border/focus	COLOR	alias:VariableID:161:3689
VariableID:208:3710	Alias	border/inverse	COLOR	alias:VariableID:161:3639
VariableID:208:3712	Alias	accent/primary	COLOR	alias:VariableID:161:3692
VariableID:208:3713	Alias	accent/secondary	COLOR	alias:VariableID:161:3699
VariableID:208:3714	Alias	accent/highlight	COLOR	alias:VariableID:161:3695
VariableID:208:3716	Alias	feedback/success	COLOR	alias:VariableID:161:3707
VariableID:208:3717	Alias	feedback/success-bg	COLOR	alias:VariableID:208:3718
VariableID:208:3718	Brand	green/50	COLOR	rgb(230,245,236)
VariableID:208:3719	Brand	red/50	COLOR	rgb(249,230,229)
VariableID:208:3720	Alias	feedback/error	COLOR	alias:VariableID:161:3709
VariableID:208:3721	Alias	feedback/error-bg	COLOR	alias:VariableID:208:3719
VariableID:208:3722	Alias	feedback/warning	COLOR	alias:VariableID:161:3699
VariableID:208:3723	Alias	feedback/warning-bg	COLOR	alias:VariableID:161:3695
VariableID:208:3724	Alias	feedback/info	COLOR	alias:VariableID:161:3689
VariableID:208:3725	Alias	feedback/info-bg	COLOR	alias:VariableID:161:3682
VariableID:208:3728	Brand	font-family/body	STRING	"Inter"
VariableID:208:3747	Brand	font-family/display	STRING	"Mariupol Strong"
VariableID:208:3749	Brand	font-family/heading	STRING	"Mariupol"
VariableID:208:3751	Brand	font-weight/Light	STRING	"Light"
VariableID:208:3752	Brand	font-weight/Medium	STRING	"Medium"
VariableID:208:3753	Brand	font-weight/Semibold	STRING	"Semibold"
VariableID:208:3754	Brand	font-weight/Strong	STRING	"Strong"
VariableID:208:3755	Brand	font-weight/Regular	STRING	"Regular"
VariableID:208:3756	Brand	Scale/0	FLOAT	0
VariableID:208:3757	Brand	Scale/100	FLOAT	4
VariableID:208:3758	Brand	Scale/200	FLOAT	8
VariableID:208:3759	Brand	Scale/300	FLOAT	12
VariableID:208:3760	Brand	Scale/400	FLOAT	16
VariableID:208:3761	Brand	Scale/500	FLOAT	20
VariableID:208:3762	Brand	Scale/600	FLOAT	24
VariableID:208:3763	Brand	Scale/700	FLOAT	28
VariableID:208:3764	Brand	Scale/800	FLOAT	32
VariableID:219:3765	Brand	Scale/25	FLOAT	1
VariableID:219:3766	Brand	Scale/50	FLOAT	2
VariableID:219:3767	Brand	Scale/900	FLOAT	36
VariableID:219:3768	Brand	Scale/1000	FLOAT	40
VariableID:219:3769	Brand	Scale/1200	FLOAT	48
VariableID:219:3770	Brand	Scale/1400	FLOAT	56
VariableID:219:3771	Brand	Scale/1600	FLOAT	64
VariableID:219:3772	Brand	Scale/2000	FLOAT	80
VariableID:219:3773	Brand	Scale/2400	FLOAT	96
VariableID:219:3774	Brand	Scale/3200	FLOAT	128
VariableID:219:3777	Alias	radius/none	FLOAT	alias:VariableID:208:3756
VariableID:219:3778	Alias	radius/small	FLOAT	alias:VariableID:208:3757
